Altium Designer Pick and Place Locations
C:\Users\13551\AppData\Local\TempReleases\Snapshot\1\Assembly Unpopulated\Pick Place\Pick Place for PCB_V1(Unpopulated).txt

========================================================================================================================
File Design Information:

Date:       03/03/25
Time:       20:05
Revision:   Not in VersionControl
Variant:    Unpopulated
Units used: mil

Designator Comment                       Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                        
R30        "RES 0805 100K 1%"            TopLayer    0805_RES                        190.909       155.142       180      "Resistor Surface Mount, 100K Ohms, 0805 Footprint, 1% Tolerance 0.125W"                                                                                                                           
R29        118k                          TopLayer    RESC2013X70X40NL20T20           373.931       735.005       0        ""                                                                                                                                                                                                 
R28        28.7K                         TopLayer    RESC1609X50X30NL10T20           248.931       725.005       180      ""                                                                                                                                                                                                 
R27        470k                          TopLayer    FP-CRGCQ0805-IPC_C              363.931       655.005       180      "CRGCQ0805 470K¶∏ 0.125W °¿100ppm/°„C 5% 150V"                                                                                                                                                        
R26        127K                          TopLayer    FP-CRCW0805-e3-MFG              471.592       625.005       90       "RES Thick Film, 127k¶∏, 1%, 0.125W, 100ppm/°„C, 0805"                                                                                                                                               
R25        267k                          TopLayer    FP-RP732A-MFG                   28.931        575.005       90       "Surface Mount Resistors, Precision Resistor, 2 Terminations, Size Code 0805, Cut Tape Length, .1%, Thin Film, 10K 0.1% 10PPM"                                                                     
R24        "RES 0603 0 5%"               TopLayer    0603_RES                        720.000       1190.001      0        "Resistor Surface Mount, 0 Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                                
R23        "RES 0603 4.7K 1%"            TopLayer    0603_RES                        523.931       2015.005      90       "Resistor Surface Mount, 4.7K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                             
R22        "RES 0805 470 5%"             TopLayer    0805_RES                        302.286       2177.240      90       "Resistor Surface Mount, 470 Ohms, 0805 Footprint, 5% Tolerance 0.125W"                                                                                                                            
R21        "RES 0603 4.7K 1%"            TopLayer    0603_RES                        598.931       2015.005      90       "Resistor Surface Mount, 4.7K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                             
R20        "RES 0603 0 5%"               TopLayer    0603_RES                        849.000       1220.535      270      "Resistor Surface Mount, 0 Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                                
R19        "RES 0603 0 5%"               TopLayer    0603_RES                        897.605       1340.959      180      "Resistor Surface Mount, 0 Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                                
R17        "RES 0603 0 5%"               TopLayer    0603_RES                        1078.931      1890.005      0        "Resistor Surface Mount, 0 Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                                
R16        "RES 0603 0 5%"               TopLayer    0603_RES                        1040.000      1804.999      180      "Resistor Surface Mount, 0 Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                                
R15        "RES 0603 5.1K 1%"            TopLayer    0603_RES                        1079.144      1956.649      180      "Resistor Surface Mount, 5.1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                             
R14        "RES 0603 10K 0.1%"           TopLayer    0603_RES                        -766.069      2230.005      90       "Resistor Surface Mount, 10K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                                                                            
R13        "RES 0603 5.1K 1%"            TopLayer    0603_RES                        801.614       1990.271      0        "Resistor Surface Mount, 5.1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                             
R12        "RES 0603 12K 5%"             TopLayer    0603_RES                        -766.069      2085.005      90       "Resistor Surface Mount, 12K Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                              
R11        "RES 0603 10K 1%"             TopLayer    0603_RES                        43.931        860.005       90       "Resistor Surface Mount, 10K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                              
R10        "RES 0603 10K 1%"             TopLayer    0603_RES                        1102.738      1189.630      180      "Resistor Surface Mount, 10K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                              
R9         "RES 0603 100 1%"             TopLayer    0603_RES                        608.931       700.005       0        "Resistor Surface Mount, 100 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                              
R8         "RES 0603 100 1%"             TopLayer    0603_RES                        1090.000      890.001       0        "Resistor Surface Mount, 100 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                              
R7         "RES 0603 1K 1%"              TopLayer    0603_RES                        900.000       1405.000      180      "Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                               
R6         "RES 0603 1K 1%"              TopLayer    0603_RES                        -121.069      955.005       180      "Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                               
R5         "RES 0603 1.13K 1%"           TopLayer    0603_RES                        -256.069      955.005       180      "Resistor Surface Mount, 1.13K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                            
R4         "RES 0603 1K 1%"              TopLayer    0603_RES                        -566.069      1170.005      180      "Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                               
R3         "RES 0603 1K 1%"              TopLayer    0603_RES                        -311.512      1224.797      0        "Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                               
R2         "RES 0603 1.13K 1%"           TopLayer    0603_RES                        -466.069      865.005       0        "Resistor Surface Mount, 1.13K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                            
R1         "RES 0603 1K 1%"              TopLayer    0603_RES                        898.149       1806.627      0        "Resistor Surface Mount, 1K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                               
L3         744311100                     TopLayer    WE-HCI_7040                     -281.069      290.005       180      "General Purpose Inductor, 1uH, 20%, 1 Element, SMD, 2827"                                                                                                                                         
L2         1uH                           TopLayer    FP-LQW21HN_00-MFG               78.931        435.005       90       "FIXED IND 1UH 115MA 2.86 OHM SMD"                                                                                                                                                                 
L1         744373360047                  TopLayer    WE-LHMI_5030                    -201.069      760.005       180      "General Purpose Inductor, 0.47uH, 20%, 1 Element, Powdered  Iron-Core, SMD, 2220"                                                                                                                 
JP14       "0603 link"                   TopLayer    0603_JP_RES                     53.931        710.005       90       "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP13       "0603 link"                   TopLayer    0603_JP_RES                     -466.069      578.755       90       "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP12       "0603 link"                   TopLayer    0603_JP_RES                     -65.000       165.000       180      "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP11       "0603 link"                   TopLayer    0603_JP_RES                     -426.000      699.000       0        "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP10       "0603 link"                   TopLayer    0603_JP_RES                     470.000       490.000       90       "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP9        "0603 link"                   TopLayer    0603_JP_RES                     -381.069      580.005       270      "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP6        "0603 link (Open)"            BottomLayer 0603_JP_Open                    -400.000      1195.000      180      "0O link, Solder Bridge/SMD, Open"                                                                                                                                                                 
JP5        "0603 link"                   TopLayer    0603_JP_RES                     -591.069      1270.005      270      "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP4        "0603 link"                   TopLayer    0603_JP_RES                     1040.087      1483.125      0        "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP3        "0603 link (Open)"            BottomLayer 0603_JP_Open                    -211.069      1135.851      270      "0O link, Solder Bridge/SMD, Open"                                                                                                                                                                 
JP2        "0603 link"                   TopLayer    0603_JP_RES                     -593.087      912.613       270      "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
JP1        "0603 link"                   TopLayer    0603_JP_RES                     1039.999      1575.001      0        "0O link, SMD, 0603, Solder Bridge Option"                                                                                                                                                         
J33        USB4110-GF-A                  TopLayer    FP-USB4110-GF-A-MFG             908.931       2143.804      180      "USB Connector, 16 Contact(s), Male, Right Angle, Surface Mount Terminal, Locking, Receptacle USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle" 
J32        B2B-PH-SM4-TBT(LF)(SN)        TopLayer    FP-B2B-PH-SM4-TBT_LF_SN-MFG     -982.875      2165.300      90       "Connector Header, PH Series, 2 Position, 2.00mm, 100V, Surface Mount, Solder, Pick and Place, Natural."                                                                                           
J2         "ARM Cortex Debug"            TopLayer    FTSH-105-01-F-DV-007-K_PLUGIN   -932.263      1770.091      270      "10 Pin Shrouded Header, 0.050", Key Pin 7"                                                                                                                                                        
J1         693071020811                  TopLayer    693071020811                    -922.402      1054.921      270      "WR-CRD Micro SD Card Connector Push & Push"                                                                                                                                                       
FL1        USBUF02W6                     TopLayer    SOT-363-6-ST                    930.000       1934.999      270      "Terminator, 2-Line, PDSO6; RC (Pi) EMI Filter 2nd Order Low Pass 2 Channel R = 22Ohms, C = 47pF 6-TSSOP, SC-88, SOT-363, USB 1.1"                                                                 
FB1        MPZ2012S601AT000              TopLayer    FP-MPZ2012-MFG_(0805)           898.931       1735.005      0        "600 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 2A 100mOhm"                                                                                                                       
F2         MF-NSMF050-2                  TopLayer    FP-MF-NSMF050-2-MFG             872.780       531.313       180      "PTC RESET FUSE 13.2V 500MA 1206"                                                                                                                                                                  
F1         MF-NSMF050-2                  TopLayer    FP-MF-NSMF050-2-MFG             -746.069      615.005       270      "PTC RESET FUSE 13.2V 500MA 1206"                                                                                                                                                                  
DN1        ECLAMP2410PQTCT               TopLayer    ECLAMP2410PQTCT-Footprint-1     788.937       1094.781      90       "Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 7 Element, Silicon with EMI Filter"                                                                                                     
D16        LSM0805472V                   TopLayer    LED_0805_YELLOW                 -61.069       2190.002      90       "LED Uni-Color Yellow 590nm Automotive 2-Pin Chip 0805(2012Metric) T/R"                                                                                                                            
D15        LSM0805463V                   TopLayer    LED_0805_BLUE                   43.931        2195.002      90       "LED Uni-Color Blue 469nm Automotive 2-Pin Chip 0805(2012Metric) T/R"                                                                                                                              
D14        LSM0805543V                   TopLayer    LED_0805_WHITE                  183.928       2080.005      0        "LED Uni-Color Blue 469nm Automotive 2-Pin Chip 0805(2012Metric) T/R"                                                                                                                              
D13        SMBJ5.0CA-TR                  TopLayer    FP-SMB-CA-MFG                   223.931       865.005       180      "TVS DIODE 5V 13.4V SMB"                                                                                                                                                                           
D12        LSM0805452V                   TopLayer    LED_0805                        -26.072       2310.005      0        "Single Color LED, Green, 0805"                                                                                                                                                                    
D6         LSM0805452V                   TopLayer    LED_0805                        1038.934      1380.005      180      "Single Color LED, Green, 0805"                                                                                                                                                                    
D3         LSM0805452V                   TopLayer    LED_0805                        -161.069      1095.008      270      "Single Color LED, Green, 0805"                                                                                                                                                                    
D2         LSM0805412V                   TopLayer    LED_0805_RED                    -591.069      1055.008      270      "Single Color LED, RED, 0805"                                                                                                                                                                      
D1         LSM0805412V                   TopLayer    LED_0805_RED                    783.931       1845.002      90       "Single Color LED, RED, 0805"                                                                                                                                                                      
C37        100nF                         TopLayer    FP-CC0603-DA-MFG                1007.975      545.093       90       "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                       
C35        100nF                         TopLayer    FP-CC0603-DA-MFG                -731.069      485.005       0        "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                       
C34        "CAP 0603 1UF 50V 10% X7R"    TopLayer    0603_CAP                        979.999       930.000       90       "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                                                                         
C33        "CAP 0805 22UF 10V 20% X5R"   TopLayer    0805_CAP_60H                    -206.069      500.005       180      "Capacitor Surface Mount 0805 Footprint 22UF 10V 20% Tolerance Ceramic X5R"                                                                                                                        
C32        "CAP 0603 0.1UF 50V 10% X7R"  TopLayer    0603_CAP                        85.000        1115.000      180      "Capacitor Surface Mount 0603 Footprint 0.1UF 50V 10% Tolerance Ceramic X7R 100nF"                                                                                                                 
C30        "CAP 0603 1UF 50V 10% X7R"    TopLayer    0603_CAP                        339.380       1980.000      180      "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                                                                         
C29        "CAP 0603 10UF 16V 20% X5R"   TopLayer    0603_CAP                        93.931        1050.005      180      "Capacitor Surface Mount 0603 Footprint 10UF 16V 20% Tolerance Ceramic X5R"                                                                                                                        
C28        "CAP 0603 1UF 50V 10% X7R"    TopLayer    0603_CAP                        453.931       2015.005      90       "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                                                                         
C27        "CAP 0805 22UF 10V 20% X5R"   TopLayer    0805_CAP_60H                    -46.069       455.005       180      "Capacitor Surface Mount 0805 Footprint 22UF 10V 20% Tolerance Ceramic X5R"                                                                                                                        
C26        "CAP 0603 10UF 16V 20% X5R"   TopLayer    0603_CAP                        81.514        194.130       90       "Capacitor Surface Mount 0603 Footprint 10UF 16V 20% Tolerance Ceramic X5R"                                                                                                                        
C25        47uF                          TopLayer    FP-C0805C476M9PACTU-MFG         348.931       554.533       270      "CAP CER 47UF 6.3V X5R 0805"                                                                                                                                                                       
C24        47uF                          TopLayer    FP-C0805C476M9PACTU-MFG         348.931       430.005       90       "CAP CER 47UF 6.3V X5R 0805"                                                                                                                                                                       
C23        1nF                           TopLayer    FP-0603-L_1_6_0_15-W_0_81-IPC_A 143.931       680.005       270      "General Purpose Ceramic Capacitor, 0603, 1nF, 10%, X7R, 15%, 50V"                                                                                                                                 
C22        43pF                          TopLayer    FP-C0603C-CF-MFG                248.931       630.005       180      "CAP CER 43PF 50V 5% NP0 0603"                                                                                                                                                                     
C21        8.2nF                         TopLayer    FP-C0805C-DN-MFG                173.459       235.005       180      "CAP CER 8200PF 200V C0G/NP0 0805"                                                                                                                                                                 
C20        1uF                           TopLayer    CAPC1608X87X35LL15T15           84.000        564.000       270      ""                                                                                                                                                                                                 
C19        100nF                         TopLayer    FP-CGA3E-0_3-0_1-IPC_A          123.577       325.005       0        "Cap Ceramic 100nF 50V X7R 10% Pad SMD 0603 +125°„C Automotive T/R"                                                                                                                                 
C17        47uF                          TopLayer    FP-C0805C476M9PACTU-MFG         298.931       330.005       180      "CAP CER 47UF 6.3V X5R 0805"                                                                                                                                                                       
C16        "CAP 0603 10UF 16V 20% X5R"   TopLayer    0603_CAP                        -50.000       570.000       90       "Capacitor Surface Mount 0603 Footprint 10UF 16V 20% Tolerance Ceramic X5R"                                                                                                                        
C15        "CAP 0603 18PF 50V 5% C0G"    TopLayer    0603_CAP                        -211.069      1260.005      90       "Capacitor Surface Mount 0603 Footprint 18PF 50V 5% Tolerance Ceramic C0G"                                                                                                                         
C14        "CAP 0603 18PF 50V 5% C0G"    TopLayer    0603_CAP                        -309.162      1296.366      0        "Capacitor Surface Mount 0603 Footprint 18PF 50V 5% Tolerance Ceramic C0G"                                                                                                                         
C13        "CAP 1206 10UF 50V 10% X5R"   TopLayer    1206_CAP                        583.931       2255.005      90       "Capacitor Surface Mount 1206 Footprint 10UF 25V 10% Tolerance Ceramic X5R"                                                                                                                        
C12        "CAP 0603 1UF 50V 10% X7R"    TopLayer    0603_CAP                        608.931       625.005       0        "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                                                                         
C11        "CAP 0603 1UF 50V 10% X7R"    TopLayer    0603_CAP                        1090.000      964.001       0        "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                                                                         
C10        "CAP 1206 10UF 50V 10% X5R"   TopLayer    1206_CAP                        1070.000      790.001       0        "Capacitor Surface Mount 1206 Footprint 10UF 25V 10% Tolerance Ceramic X5R"                                                                                                                        
C9         "CAP 0805 4.7UF 50V 10% X5R"  TopLayer    0805_CAP                        -491.069      1055.005      90       "Capacitor Surface Mount 0805 Footprint 4.7UF 50V 10% Tolerance Ceramic X5R"                                                                                                                       
C8         "CAP 0603 1UF 50V 10% X7R"    TopLayer    0603_CAP                        -466.069      935.005       0        "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                                                                         
C7         "CAP 0805 4.7UF 50V 10% X5R"  TopLayer    0805_CAP                        -71.069       1095.005      270      "Capacitor Surface Mount 0805 Footprint 4.7UF 50V 10% Tolerance Ceramic X5R"                                                                                                                       
C6         "CAP 0603 0.1UF 50V 10% X7R"  TopLayer    0603_CAP                        900.000       1475.000      180      "Capacitor Surface Mount 0603 Footprint 0.1UF 50V 10% Tolerance Ceramic X7R 100nF"                                                                                                                 
C5         "CAP 0603 0.1UF 50V 10% X7R"  TopLayer    0603_CAP                        1044.000      1740.000      180      "Capacitor Surface Mount 0603 Footprint 0.1UF 50V 10% Tolerance Ceramic X7R 100nF"                                                                                                                 
C4         "CAP 0603 0.1UF 50V 10% X7R"  TopLayer    0603_CAP                        722.001       1697.000      90       "Capacitor Surface Mount 0603 Footprint 0.1UF 50V 10% Tolerance Ceramic X7R 100nF"                                                                                                                 
C3         "CAP 0805 4.7UF 10V 10% X7R"  TopLayer    0805_CAP                        1063.931      1660.005      180      "Capacitor Surface Mount 0805 Footprint 4.7UF 10V 10% Tolerance Ceramic X7R"                                                                                                                       
C2         "CAP 0603 0.01UF 50V 10% X7R" TopLayer    0603_CAP                        794.000       1695.000      90       "Capacitor Surface Mount 0603 Footprint 0.01UF 50V 10% Tolerance Ceramic X7R"                                                                                                                      
C1         "CAP 0805 4.7UF 50V 10% X5R"  TopLayer    0805_CAP                        963.243       1181.963      0        "Capacitor Surface Mount 0805 Footprint 4.7UF 50V 10% Tolerance Ceramic X5R"                                                                                                                       
